"행정구역","2025년11월_계_총인구수","2025년11월_계_연령구간인구수","2025년11월_계_0~4세","2025년11월_계_5~9세","2025년11월_계_10~14세","2025년11월_계_15~19세","2025년11월_계_20~24세","2025년11월_계_25~29세","2025년11월_계_30~34세","2025년11월_계_35~39세","2025년11월_계_40~44세","2025년11월_계_45~49세","2025년11월_계_50~54세","2025년11월_계_55~59세","2025년11월_계_60~64세","2025년11월_계_65~69세","2025년11월_계_70~74세","2025년11월_계_75~79세","2025년11월_계_80~84세","2025년11월_계_85~89세","2025년11월_계_90~94세","2025년11월_계_95~99세","2025년11월_계_100세 이상","2025년11월_남_총인구수","2025년11월_남_연령구간인구수","2025년11월_남_0~4세","2025년11월_남_5~9세","2025년11월_남_10~14세","2025년11월_남_15~19세","2025년11월_남_20~24세","2025년11월_남_25~29세","2025년11월_남_30~34세","2025년11월_남_35~39세","2025년11월_남_40~44세","2025년11월_남_45~49세","2025년11월_남_50~54세","2025년11월_남_55~59세","2025년11월_남_60~64세","2025년11월_남_65~69세","2025년11월_남_70~74세","2025년11월_남_75~79세","2025년11월_남_80~84세","2025년11월_남_85~89세","2025년11월_남_90~94세","2025년11월_남_95~99세","2025년11월_남_100세 이상","2025년11월_여_총인구수","2025년11월_여_연령구간인구수","2025년11월_여_0~4세","2025년11월_여_5~9세","2025년11월_여_10~14세","2025년11월_여_15~19세","2025년11월_여_20~24세","2025년11월_여_25~29세","2025년11월_여_30~34세","2025년11월_여_35~39세","2025년11월_여_40~44세","2025년11월_여_45~49세","2025년11월_여_50~54세","2025년11월_여_55~59세","2025년11월_여_60~64세","2025년11월_여_65~69세","2025년11월_여_70~74세","2025년11월_여_75~79세","2025년11월_여_80~84세","2025년11월_여_85~89세","2025년11월_여_90~94세","2025년11월_여_95~99세","2025년11월_여_100세 이상"
"충청북도 진천군 (4375000000)","85,909","85,909","2,418","3,426","4,384","4,129","3,167","4,268","5,340","5,381","6,790","7,132","7,197","7,436","7,209","6,266","4,106","2,700","2,148","1,650","632","116","14","45,380","45,380","1,272","1,802","2,224","2,155","1,829","2,491","3,092","2,972","3,632","3,911","3,983","4,024","3,923","3,278","2,009","1,283","814","532","137","17","0","40,529","40,529","1,146","1,624","2,160","1,974","1,338","1,777","2,248","2,409","3,158","3,221","3,214","3,412","3,286","2,988","2,097","1,417","1,334","1,118","495","99","14"
"충청북도 괴산군 (4376000000)","35,618","35,618","400","571","771","899","925","944","922","970","1,253","1,655","2,427","3,642","4,704","5,115","3,672","2,487","2,167","1,444","529","106","15","18,489","18,489","200","307","391","468","552","554","538","567","696","917","1,418","1,961","2,532","2,804","1,852","1,266","846","480","122","17","1","17,129","17,129","200","264","380","431","373","390","384","403","557","738","1,009","1,681","2,172","2,311","1,820","1,221","1,321","964","407","89","14"
"충청북도 음성군 (4377000000)","93,593","93,593","1,726","2,369","3,470","3,804","3,278","4,775","5,133","4,347","5,556","6,594","8,126","9,455","9,772","9,027","6,031","3,864","3,193","2,050","809","180","34","49,974","49,974","864","1,223","1,830","2,023","1,847","2,791","3,054","2,505","3,107","3,632","4,584","5,191","5,398","4,800","3,042","1,871","1,323","655","194","30","10","43,619","43,619","862","1,146","1,640","1,781","1,431","1,984","2,079","1,842","2,449","2,962","3,542","4,264","4,374","4,227","2,989","1,993","1,870","1,395","615","150","24"
"충청북도 단양군 (4380000000)","26,873","26,873","296","477","726","830","743","819","794","804","1,069","1,357","1,954","2,692","3,479","3,724","2,552","1,823","1,481","889","282","73","9","13,734","13,734","146","236","401","443","436","487","462","439","554","750","1,041","1,487","1,853","1,920","1,283","846","592","272","74","10","2","13,139","13,139","150","241","325","387","307","332","332","365","515","607","913","1,205","1,626","1,804","1,269","977","889","617","208","63","7"
"충청남도  (4400000000)","2,136,966","2,136,966","52,069","74,856","100,983","101,745","97,323","115,821","127,866","124,449","153,162","161,288","175,352","176,888","176,427","163,569","115,457","86,657","65,428","44,362","18,977","3,808","479","1,096,998","1,096,998","26,741","38,316","51,912","52,721","52,506","65,283","71,438","67,189","81,669","85,945","93,631","93,442","91,967","82,191","55,902","40,524","25,582","14,397","4,837","725","80","1,039,968","1,039,968","25,328","36,540","49,071","49,024","44,817","50,538","56,428","57,260","71,493","75,343","81,721","83,446","84,460","81,378","59,555","46,133","39,846","29,965","14,140","3,083","399"
"충청남도 천안시 (4413000000)","664,186","664,186","18,395","25,504","34,042","33,954","38,444","47,385","51,295","46,981","54,638","54,803","56,798","54,250","48,024","38,419","23,628","16,000","11,140","7,075","2,796","547","68","340,609","340,609","9,430","13,103","17,424","17,469","19,716","25,885","28,190","25,287","28,843","28,716","28,977","27,560","24,635","19,254","11,382","7,321","4,366","2,282","655","104","10","323,577","323,577","8,965","12,401","16,618","16,485","18,728","21,500","23,105","21,694","25,795","26,087","27,821","26,690","23,389","19,165","12,246","8,679","6,774","4,793","2,141","443","58"
"충청남도 천안시 동남구 (4413100000)","262,573","262,573","6,245","8,351","11,992","13,094","15,580","17,025","17,900","15,232","18,672","20,611","23,010","22,897","21,898","18,614","12,019","8,178","5,769","3,657","1,490","299","40","133,007","133,007","3,142","4,303","6,135","6,723","7,850","9,255","9,720","8,310","9,704","10,618","11,764","11,604","11,082","9,262","5,838","3,759","2,312","1,203","359","58","6","129,566","129,566","3,103","4,048","5,857","6,371","7,730","7,770","8,180","6,922","8,968","9,993","11,246","11,293","10,816","9,352","6,181","4,419","3,457","2,454","1,131","241","34"
"충청남도 천안시 서북구 (4413300000)","401,613","401,613","12,150","17,153","22,050","20,860","22,864","30,360","33,395","31,749","35,966","34,192","33,788","31,353","26,126","19,805","11,609","7,822","5,371","3,418","1,306","248","28","207,602","207,602","6,288","8,800","11,289","10,746","11,866","16,630","18,470","16,977","19,139","18,098","17,213","15,956","13,553","9,992","5,544","3,562","2,054","1,079","296","46","4","194,011","194,011","5,862","8,353","10,761","10,114","10,998","13,730","14,925","14,772","16,827","16,094","16,575","15,397","12,573","9,813","6,065","4,260","3,317","2,339","1,010","202","24"
"충청남도 공주시 (4415000000)","100,240","100,240","1,492","2,138","3,390","4,368","5,924","4,381","4,206","3,857","5,037","5,986","7,485","8,772","10,288","10,390","7,722","5,614","4,401","3,054","1,391","308","36","49,962","49,962","792","1,096","1,760","2,250","2,712","2,497","2,405","2,069","2,628","3,147","3,901","4,569","5,270","5,189","3,811","2,724","1,692","1,013","357","73","7","50,278","50,278","700","1,042","1,630","2,118","3,212","1,884","1,801","1,788","2,409","2,839","3,584","4,203","5,018","5,201","3,911","2,890","2,709","2,041","1,034","235","29"
"충청남도 보령시 (4418000000)","92,215","92,215","1,604","2,352","3,393","3,708","3,197","3,811","3,812","3,612","5,163","6,046","7,566","8,251","9,164","9,400","7,234","5,652","4,151","2,715","1,114","231","39","46,712","46,712","824","1,195","1,715","1,908","1,840","2,185","2,224","1,964","2,788","3,299","4,121","4,432","4,750","4,655","3,403","2,597","1,617","892","266","31","6","45,503","45,503","780","1,157","1,678","1,800","1,357","1,626","1,588","1,648","2,375","2,747","3,445","3,819","4,414","4,745","3,831","3,055","2,534","1,823","848","200","33"
